Case,LNG,Demand,Shortfall,StorageShort10,StorageShort22,Imports,DomEmissions2223,DomEmissions2324,UpEmissions2223,UpEmissions2324,EmissionsTot,Elec22,Ind22,CHP22,Residential22,Commercial22,Elec23,Ind23,CHP23,Residential23,Commercial23,OverallDR
Deep_60,217.43917984979865,811.7735461790935,0.4220058820711021,0.0,0.0,591.033114462987,788.9972733383441,795.8421689870656,170.6527220868511,166.746404750189,1922.2385691624477,31.791933924568262,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,27.79389657437844,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.15191868845083514
Deep_70,198.12743359142354,791.0589246463838,0.4218103377971216,0.0,0.0,570.0596352989389,766.9244881445521,774.8299281050564,161.73402598236572,154.86497349399104,1858.3534157259635,23.012884007003905,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,16.598826575646978,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.17355980188744985
Moderate_0,247.99999999999986,927.868294475886,56.74837693444917,0.0,1.617035378468192,650.5424385317896,873.4132023203449,833.0614121661793,209.43877041219014,178.32460314924103,2094.237988047955,81.87765140881007,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,92.3772954187878,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.03063143184714013
Moderate_10,242.3540636173735,909.9268460839006,46.302004881015684,0.0,0.08579263316008356,643.0473621932374,860.0873016237326,831.0442418641744,203.71692374866655,178.0975616271286,2072.946028863701,73.61098105532427,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,82.82898660395855,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.049375337897029845
Moderate_20,242.2187709441842,892.1343622036294,33.385546557604044,0.0,0.0,638.1713366363776,854.234187502164,826.9927297552999,202.94179176926784,177.6333187489746,2061.8020277757055,64.06505917467094,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,74.58242460434082,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.06796361677840371
Moderate_30,242.08709424872953,871.7685589736353,22.44309028660259,0.0,0.0,628.7479896773857,843.4707163315256,818.6171280063842,203.04419246332506,175.19669473762886,2040.3287315388643,55.48606782667647,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,62.433989793851765,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.08924031050085932
Moderate_40,231.43853338141355,851.392719537582,7.402769352354013,0.0,0.0,623.4124711755803,835.4406374726459,815.5881078473268,194.61767389196274,174.8014041742588,2020.4478233861932,47.97761964216974,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,50.621677600954705,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.1105274893134485
Moderate_50,226.13296205623703,834.6518759402159,0.44873849505422825,0.0,0.0,613.6256584355144,824.1356942647727,806.8783180255452,188.69179338015581,171.69195626409825,1991.3977619345694,40.54045567897999,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,39.92106177241599,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.12801709175407905
Moderate_60,215.54358965899962,816.0951355094744,0.4479390703175399,0.0,0.0,595.0697174295088,795.6618565711528,797.3518275572891,174.019697653859,164.88727981997903,1931.9206616022775,32.704406026531565,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,29.200370994121865,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.14740380968379818
Moderate_70,206.50593027265904,795.1132403528209,0.4470471682537543,0.0,0.0,574.0887141749193,771.6251825327014,778.5624888640154,165.32008183143986,158.6987120776301,1874.2064653057848,23.660770364722925,137.76456376448334,76.30648332355157,116.77970402367367,47.320875067518735,17.367988427671822,137.16930549326437,75.98579024822718,114.90464647670426,46.56205389703454,-0.1693241509501476
